metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1787521116,1.000000,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
http_req_duration,1787521116,305.775947,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
http_req_blocked,1787521116,535.450884,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
http_req_connecting,1787521116,187.752959,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
http_req_tls_handshaking,1787521116,186.256122,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
http_req_sending,1787521116,0.032632,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
http_req_waiting,1787521116,305.661088,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
http_req_receiving,1787521116,0.082227,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
http_req_failed,1787521116,0.000000,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
http_reqs,1787521116,1.000000,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
http_req_duration,1787521116,309.184110,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
http_req_blocked,1787521116,534.087961,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
http_req_connecting,1787521116,185.796357,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
http_req_tls_handshaking,1787521116,186.585518,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
http_req_sending,1787521116,0.099129,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
http_req_waiting,1787521116,309.057208,,,,true,,POST,Auth_Login,HTTP/2.0,warmup,,200,,tls1.3,Auth_Login,,
